80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,cfa_color_ord,y_src_sel,flyby_in_crop_en,flyby_in_top_crop_num,flyby_in_down_crop_num,flyby_in_left_crop_num,flyby_in_right_crop_num,tr_first_tile_width,tr_first_tile_height,out_line_offset,out_line_num,RawHsize,RawVsize,SrcHbase,SrcVbase,SrcHsize,SrcVsize,DestHsize,DestVsize,,,,,,,,,,,
pattern_00028,1,1,0,0,0,0,0,31,4483,31,4483,32,8190,0,0,32,4484,32,4484,,,,,,,,,,,
pattern_00029,2,0,0,0,0,0,0,31,7381,31,7381,32,8190,0,0,32,7382,32,7382,,,,,,,,,,,
pattern_00030,3,0,0,0,0,0,0,31,1475,31,1475,32,8190,0,0,32,1476,32,1476,,,,,,,,,,,
pattern_00031,0,1,0,0,0,0,0,31,3937,31,3937,32,8190,0,0,32,3938,32,3938,,,,,,,,,,,
pattern_00032,1,1,0,0,0,0,0,31,455,31,455,32,8190,0,0,32,456,32,456,,,,,,,,,,,
pattern_00033,2,0,0,0,0,0,0,31,6679,31,6679,32,8190,0,0,32,6680,32,6680,,,,,,,,,,,
pattern_00034,3,0,0,0,0,0,0,31,4641,31,4641,32,8190,0,0,32,4642,32,4642,,,,,,,,,,,
pattern_00035,0,1,0,0,0,0,0,31,773,31,773,32,8190,0,0,32,774,32,774,,,,,,,,,,,
pattern_00036,1,0,0,0,0,0,0,31,7205,31,7205,32,8190,0,0,32,7206,32,7206,,,,,,,,,,,
pattern_00037,2,1,0,0,0,0,0,31,3383,31,3383,32,8190,0,0,32,3384,32,3384,,,,,,,,,,,
pattern_00038,3,0,0,0,0,0,0,31,4351,31,4351,32,8190,0,0,32,4352,32,4352,,,,,,,,,,,
pattern_00039,0,1,0,0,0,0,0,31,5537,31,5537,32,8190,0,0,32,5538,32,5538,,,,,,,,,,,
pattern_00040,1,0,0,0,0,0,0,31,7173,31,7173,32,8190,0,0,32,7174,32,7174,,,,,,,,,,,
pattern_00041,2,1,0,0,0,0,0,31,4761,31,4761,32,8190,0,0,32,4762,32,4762,,,,,,,,,,,
pattern_00042,3,0,0,0,0,0,0,31,5909,31,5909,32,8190,0,0,32,5910,32,5910,,,,,,,,,,,
pattern_00043,0,0,0,0,0,0,0,31,453,31,453,32,8190,0,0,32,454,32,454,,,,,,,,,,,
pattern_00044,1,1,0,0,0,0,0,31,8083,31,8083,32,8190,0,0,32,8084,32,8084,,,,,,,,,,,
pattern_00045,2,0,0,0,0,0,0,31,6197,31,6197,32,8190,0,0,32,6198,32,6198,,,,,,,,,,,
pattern_00046,3,1,1,164,136,0,0,31,621,31,321,32,8190,0,0,32,622,32,322,,,,,,,,,,,
pattern_00047,0,0,1,322,572,0,0,31,973,31,79,32,8190,0,0,32,974,32,80,,,,,,,,,,,
pattern_00048,1,0,1,254,340,0,0,31,1331,31,737,32,8190,0,0,32,1332,32,738,,,,,,,,,,,
pattern_00049,2,1,1,1404,368,0,0,31,2639,31,867,32,8190,0,0,32,2640,32,868,,,,,,,,,,,
pattern_00050,3,0,1,566,168,0,0,31,1365,31,631,32,8190,0,0,32,1366,32,632,,,,,,,,,,,
pattern_00051,0,0,1,102,42,0,0,31,563,31,419,32,8190,0,0,32,564,32,420,,,,,,,,,,,
pattern_00052,1,1,1,228,2630,0,0,31,7035,31,4177,32,8190,0,0,32,7036,32,4178,,,,,,,,,,,
pattern_00053,2,0,1,564,794,0,0,31,7457,31,6099,32,8190,0,0,32,7458,32,6100,,,,,,,,,,,
pattern_00054,3,1,1,338,684,0,0,31,4633,31,3611,32,8190,0,0,32,4634,32,3612,,,,,,,,,,,
pattern_00055,0,0,1,492,132,0,0,31,1493,31,869,32,8190,0,0,32,1494,32,870,,,,,,,,,,,
pattern_00056,1,0,1,648,744,0,0,31,3617,31,2225,32,8190,0,0,32,3618,32,2226,,,,,,,,,,,
pattern_00057,2,0,1,778,132,0,0,31,1011,31,101,32,8190,0,0,32,1012,32,102,,,,,,,,,,,
pattern_00058,3,0,1,14,148,0,0,31,563,31,401,32,8190,0,0,32,564,32,402,,,,,,,,,,,
pattern_00059,0,1,1,96,324,0,0,31,4573,31,4153,32,8190,0,0,32,4574,32,4154,,,,,,,,,,,
pattern_00060,1,0,1,2898,1338,0,0,31,5825,31,1589,32,8190,0,0,32,5826,32,1590,,,,,,,,,,,
pattern_00061,2,0,1,266,1184,0,0,31,6085,31,4635,32,8190,0,0,32,6086,32,4636,,,,,,,,,,,
pattern_00062,3,0,1,670,758,0,0,31,5943,31,4515,32,8190,0,0,32,5944,32,4516,,,,,,,,,,,
pattern_00063,0,0,1,1248,658,0,0,31,6057,31,4151,32,8190,0,0,32,6058,32,4152,,,,,,,,,,,
pattern_00064,1,0,1,938,794,0,0,31,6279,31,4547,32,8190,0,0,32,6280,32,4548,,,,,,,,,,,
pattern_00065,2,0,1,284,898,0,0,31,4215,31,3033,32,8190,0,0,32,4216,32,3034,,,,,,,,,,,
pattern_00066,3,1,1,264,152,0,0,31,2571,31,2155,32,8190,0,0,32,2572,32,2156,,,,,,,,,,,
pattern_00067,0,1,1,886,1930,0,0,31,3113,31,297,32,8190,0,0,32,3114,32,298,,,,,,,,,,,
pattern_00068,1,1,1,2362,1320,0,0,31,7649,31,3967,32,8190,0,0,32,7650,32,3968,,,,,,,,,,,
pattern_00069,2,1,1,2332,114,0,0,31,5459,31,3013,32,8190,0,0,32,5460,32,3014,,,,,,,,,,,
pattern_00070,3,0,1,1192,212,0,0,31,5189,31,3785,32,8190,0,0,32,5190,32,3786,,,,,,,,,,,
pattern_00071,0,1,1,694,1190,0,0,31,2103,31,219,32,8190,0,0,32,2104,32,220,,,,,,,,,,,
pattern_00072,1,1,1,354,1082,0,0,31,3507,31,2071,32,8190,0,0,32,3508,32,2072,,,,,,,,,,,
pattern_00073,2,0,1,3214,1672,0,0,31,5081,31,195,32,8190,0,0,32,5082,32,196,,,,,,,,,,,
pattern_00074,3,1,1,1704,1412,0,0,31,5627,31,2511,32,8190,0,0,32,5628,32,2512,,,,,,,,,,,
pattern_00075,0,0,1,78,76,0,0,31,2241,31,2087,32,8190,0,0,32,2242,32,2088,,,,,,,,,,,
pattern_00076,1,1,1,186,1628,0,0,31,3097,31,1283,32,8190,0,0,32,3098,32,1284,,,,,,,,,,,
pattern_00077,2,1,1,432,1528,0,0,31,4101,31,2141,32,8190,0,0,32,4102,32,2142,,,,,,,,,,,
pattern_00078,3,1,1,180,186,0,0,31,581,31,215,32,8190,0,0,32,582,32,216,,,,,,,,,,,
pattern_00079,0,0,1,1372,518,0,0,31,1993,31,103,32,8190,0,0,32,1994,32,104,,,,,,,,,,,
pattern_00080,1,1,1,228,144,0,0,31,1235,31,863,32,8190,0,0,32,1236,32,864,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
