400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ycs_bypass,CoefR2Y,CoefG2Y,CoefB2Y,CoefR2Cb,CoefG2Cb,CoefB2Cb,CoefR2Cr,CoefG2Cr,CoefB2Cr,RGB2YCC_cb_offset,RGB2YCC_cr_offset,chro_mode,chro_y_th,chro_th,chro_cutoff_th1,chro_cutoff_th2,chro_a1,chro_a2,chro_lut1,chro_lut2,chro_lut3,chro_lut4,chro_lut5,chro_lut6,chro_lut7,chro_lut8,chro_lut9,chro_lut10,chro_lut11,chro_lut12,chro_lut13,chro_lut14,chro_lut15,lut_ycs_y_1,lut_ycs_y_2,lut_ycs_y_3,lut_ycs_y_4,lut_ycs_y_5,lut_ycs_y_6,lut_ycs_y_7,lut_ycs_y_8,lut_ycs_y_9,lut_ycs_y_10,lut_ycs_y_11,lut_ycs_y_12,lut_ycs_y_13,lut_ycs_y_14,lut_ycs_y_15,lut_ycs_y_16,lut_ycs_y_17,lut_ycs_y_18,lut_ycs_y_19,lut_ycs_y_20,lut_ycs_y_21,lut_ycs_y_22,lut_ycs_y_23,lut_ycs_y_24,lut_ycs_y_25,lut_ycs_y_26,lut_ycs_y_27,lut_ycs_y_28,lut_ycs_y_29,lut_ycs_y_30,lut_ycs_y_31,lut_ycs_y_32,lut_ycs_y_33,lut_ycs_c_1,lut_ycs_c_2,lut_ycs_c_3,lut_ycs_c_4,lut_ycs_c_5,lut_ycs_c_6,lut_ycs_c_7,lut_ycs_c_8,lut_ycs_c_9,lut_ycs_c_10,lut_ycs_c_11,lut_ycs_c_12,lut_ycs_c_13,lut_ycs_c_14,lut_ycs_c_15,lut_ycs_c_16,lut_ycs_c_17,tr_first_tile_width,tr_first_tile_height,out_line_offset,out_line_num,RawHsize,RawVsize,SrcHbase,SrcVbase,SrcHsize,SrcVsize,DestHsize,DestVsize
pattern_00011,0,2047,2048,0,2047,2048,0,2047,2048,0,0,511,1,40,15,3,3,25,25,7,1,6,6,5,0,15,2,10,3,6,7,6,8,15,27,47,56,53,26,30,41,57,62,52,6,54,50,48,32,56,2,32,36,50,53,29,28,19,18,2,42,10,48,34,41,17,55,40,17,21,53,33,35,4,6,22,14,50,19,8,53,29,45,61,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00012,0,2048,2048,2048,2048,2048,2048,2048,2048,2048,0,511,2,40,15,3,3,25,25,3,14,11,5,5,11,6,1,4,15,8,10,12,0,4,37,50,53,13,20,56,13,0,18,26,13,38,15,54,12,24,23,46,5,37,52,52,3,56,38,17,30,60,38,14,52,33,28,37,29,31,48,8,21,15,26,13,19,18,22,64,56,53,12,19,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00013,0,2048,2048,2048,2048,2048,2048,2048,2048,2048,0,511,0,40,15,3,3,25,25,0,2,14,13,6,15,4,15,0,4,0,14,12,3,5,48,48,48,62,33,14,45,50,42,13,24,4,27,59,53,33,18,42,27,36,51,11,49,34,45,48,33,57,42,53,36,6,62,50,14,6,14,42,9,6,38,58,38,18,46,48,12,31,29,49,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00014,0,0,2047,4095,0,2047,4095,0,2047,4095,0,511,1,40,15,3,3,25,25,10,0,2,5,8,3,15,0,2,5,9,13,14,7,8,64,8,47,64,51,43,57,12,39,26,64,43,20,52,51,11,38,61,22,53,22,52,21,9,26,44,49,57,61,61,62,25,0,30,61,19,8,8,64,10,8,47,56,26,53,56,35,46,33,16,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00015,0,4095,0,2047,4095,0,2047,4095,0,2047,0,511,2,40,15,3,3,25,25,3,2,14,13,15,8,3,5,11,11,10,4,1,14,11,10,7,13,54,54,8,21,34,25,29,46,18,8,19,46,21,56,12,10,32,37,34,43,64,7,5,62,21,27,5,36,38,41,46,55,62,5,35,48,28,14,25,36,62,19,53,21,37,57,56,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00016,0,2047,4095,0,2047,4095,0,2047,4095,0,0,511,0,40,15,3,3,25,25,0,14,9,13,3,2,0,13,13,13,5,10,5,15,15,25,46,0,37,29,50,39,0,41,9,57,43,1,12,11,26,53,52,25,57,60,3,20,46,55,23,19,51,3,33,19,60,56,15,9,27,30,6,14,42,14,35,48,60,24,53,42,7,18,15,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00017,0,0,2047,2048,0,2047,2048,0,2047,2048,511,0,1,40,15,3,3,25,25,5,7,12,7,15,15,5,1,0,12,2,7,5,1,3,61,45,29,10,26,51,40,18,29,34,42,12,55,13,59,31,24,57,39,38,28,47,53,12,54,64,33,18,12,15,4,37,63,53,20,0,0,51,31,52,34,52,58,48,39,10,18,24,10,52,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00018,0,2048,0,2047,2048,0,2047,2048,0,2047,511,0,2,40,15,3,3,25,25,0,1,8,2,6,1,5,7,9,14,6,0,0,6,7,20,20,35,21,18,45,11,20,56,22,64,32,51,34,29,64,27,11,37,1,21,62,58,13,30,49,1,10,23,33,37,13,20,38,61,41,59,28,19,49,59,19,61,60,41,9,11,19,8,33,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00019,0,2047,2048,0,2047,2048,0,2047,2048,0,511,0,0,40,15,3,3,25,25,10,6,1,13,3,2,15,1,13,3,2,9,12,10,8,23,59,39,47,37,37,58,26,33,14,56,58,37,6,3,34,2,56,59,7,3,20,57,13,53,22,8,46,53,56,51,54,63,51,48,55,1,35,38,61,44,52,4,58,3,17,2,13,39,17,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00020,0,2048,2048,2048,2048,2048,2048,2048,2048,2048,511,0,1,40,15,3,3,25,25,1,12,0,2,4,1,7,11,12,10,10,6,12,4,0,26,61,1,56,23,2,32,38,28,50,59,33,34,17,54,62,48,58,31,36,47,22,1,59,43,6,17,22,5,31,13,13,39,33,31,39,12,19,27,11,62,45,14,37,46,25,48,36,55,34,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00021,0,2048,2048,2048,2048,2048,2048,2048,2048,2048,511,0,2,40,15,3,3,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,60,63,58,34,18,48,56,59,32,64,38,28,9,21,14,53,42,17,57,23,45,3,10,43,11,2,63,15,50,10,33,18,17,53,31,44,23,18,43,0,9,62,47,52,20,12,30,7,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00022,0,0,2047,4095,0,2047,4095,0,2047,4095,511,0,0,40,15,3,3,25,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,63,50,47,3,8,64,35,27,29,16,43,27,52,46,59,14,56,35,19,54,19,49,4,9,9,21,11,17,40,43,1,58,45,59,64,7,61,41,26,59,42,7,5,14,33,31,30,54,4,18,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00023,0,4095,0,2047,4095,0,2047,4095,0,2047,511,0,1,40,15,3,3,25,25,15,3,1,11,3,1,14,5,7,10,4,10,3,12,12,61,41,1,28,24,9,34,57,41,19,5,62,47,5,17,63,6,5,46,22,49,36,21,3,14,59,17,22,17,52,10,59,39,5,2,6,8,7,51,34,17,31,57,16,45,33,39,42,45,44,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00024,0,2047,4095,0,2047,4095,0,2047,4095,0,511,0,2,40,15,3,3,25,25,1,9,12,2,1,4,2,6,7,5,2,3,7,12,7,62,48,5,27,36,39,16,62,18,40,50,55,12,60,44,60,49,59,52,34,13,17,40,28,4,34,33,25,41,50,44,15,34,27,31,54,39,30,28,19,29,30,40,19,49,21,43,37,19,39,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00025,0,0,2047,2048,0,2047,2048,0,2047,2048,511,511,0,40,15,3,3,25,25,6,14,11,7,13,4,6,10,3,5,10,5,9,12,10,59,49,24,26,21,17,34,0,28,27,37,1,58,60,48,11,17,61,25,23,52,17,45,24,7,39,2,10,55,53,52,3,14,55,15,40,4,3,4,3,34,60,8,54,27,16,39,58,41,48,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00026,0,2048,0,2047,2048,0,2047,2048,0,2047,511,511,1,40,15,3,3,25,25,12,14,6,0,13,0,1,0,1,9,10,13,15,11,13,3,34,19,49,64,31,26,40,34,59,15,37,50,28,63,35,55,63,53,24,55,34,20,51,49,5,49,58,18,4,14,49,28,45,51,11,43,35,47,44,33,27,44,24,31,26,35,63,52,16,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00027,0,2047,2048,0,2047,2048,0,2047,2048,0,511,511,2,40,15,3,3,25,25,12,9,0,1,8,13,0,15,9,0,3,15,3,4,1,51,34,57,18,40,39,25,38,51,18,12,27,3,61,51,45,17,31,3,14,0,37,20,47,20,38,46,35,52,26,23,62,0,27,49,22,6,24,3,3,59,25,34,33,29,26,53,45,33,6,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00028,0,2048,2048,2048,2048,2048,2048,2048,2048,2048,511,511,0,40,15,3,3,25,25,4,15,2,4,6,13,13,8,11,10,2,7,1,5,12,42,33,1,56,16,28,29,59,41,13,61,20,18,64,41,19,49,49,37,20,3,30,4,7,5,55,42,37,41,29,19,0,53,13,38,8,38,32,44,33,51,45,0,55,52,46,35,29,40,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00029,0,2048,2048,2048,2048,2048,2048,2048,2048,2048,511,511,1,40,15,3,3,25,25,0,10,14,8,14,11,6,6,7,1,14,4,12,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00030,0,0,2047,4095,0,2047,4095,0,2047,4095,511,511,2,40,15,3,3,25,25,3,9,9,10,11,11,11,11,3,8,3,15,0,11,2,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00031,0,4095,0,2047,4095,0,2047,4095,0,2047,511,511,0,40,15,3,3,25,25,11,2,6,8,1,4,12,6,0,13,3,5,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00032,0,2047,4095,0,2047,4095,0,2047,4095,0,511,511,1,40,15,3,3,25,25,1,9,5,13,8,9,6,13,10,8,4,12,12,4,3,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00033,1,0,2047,2048,0,2047,2048,0,2047,2048,0,0,2,40,15,3,3,25,25,12,3,5,1,13,1,4,6,8,6,11,7,1,15,6,27,35,22,50,33,61,6,21,44,41,13,62,58,8,51,59,58,10,64,61,9,4,25,61,63,62,27,52,32,48,42,24,28,27,7,60,56,36,8,21,6,0,33,61,14,50,19,45,12,7,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00034,1,2048,0,2047,2048,0,2047,2048,0,2047,0,0,0,40,15,3,3,25,25,10,4,10,11,9,6,7,10,4,11,13,4,4,8,5,28,5,60,56,13,59,38,27,6,39,7,62,40,41,40,30,18,12,52,21,59,1,35,62,11,10,53,13,52,52,5,49,50,13,27,15,15,27,33,33,17,27,39,61,47,5,63,53,26,29,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00035,1,2047,2048,0,2047,2048,0,2047,2048,0,0,0,1,40,15,3,3,25,25,14,10,15,9,3,13,0,12,7,15,0,1,1,8,13,2,36,27,5,53,1,36,12,14,57,16,28,0,23,8,39,59,53,5,54,8,59,17,1,30,2,41,10,36,10,33,29,41,19,33,18,32,33,13,25,11,20,34,62,35,25,46,18,1,33,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00036,1,2048,2048,2048,2048,2048,2048,2048,2048,2048,0,0,2,40,15,3,3,25,25,13,0,1,2,13,8,6,8,9,2,15,13,0,15,15,40,5,19,6,7,34,62,50,61,4,26,58,13,61,29,40,54,24,31,38,37,39,4,31,51,24,58,54,41,25,54,15,21,21,37,45,34,23,30,20,22,2,18,43,48,60,47,20,43,35,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00037,1,2048,2048,2048,2048,2048,2048,2048,2048,2048,0,0,0,40,15,3,3,25,25,15,15,10,9,4,1,11,7,9,5,8,3,13,13,11,31,32,51,17,22,47,12,39,35,24,23,19,63,43,28,7,33,11,45,28,56,4,45,37,42,21,62,47,26,15,5,45,52,34,11,41,44,12,46,16,15,0,36,8,24,38,63,23,2,17,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00038,1,0,2047,4095,0,2047,4095,0,2047,4095,0,0,1,40,15,3,3,25,25,12,14,14,6,5,6,13,3,9,5,15,8,2,11,7,51,5,27,58,53,8,43,48,25,3,28,41,54,26,52,44,61,13,51,27,3,14,41,60,0,36,21,30,8,27,54,47,57,35,58,32,53,16,41,12,18,34,38,60,63,44,13,22,29,10,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00039,1,4095,0,2047,4095,0,2047,4095,0,2047,0,0,2,40,15,3,3,25,25,0,7,12,5,5,8,9,6,0,14,6,2,2,8,14,45,30,53,8,27,30,32,27,39,8,60,32,51,36,7,3,47,62,64,12,31,2,12,7,38,31,23,42,50,4,2,26,15,9,2,41,8,45,40,11,30,16,3,29,31,30,37,55,19,10,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00040,1,2047,4095,0,2047,4095,0,2047,4095,0,0,0,0,40,15,3,3,25,25,4,9,14,12,6,10,1,14,2,8,6,13,7,7,7,19,22,58,31,8,17,28,29,28,46,20,44,5,57,20,0,28,54,57,38,59,37,27,53,0,19,18,21,54,58,10,43,33,58,15,26,56,28,56,30,21,3,63,15,36,41,20,57,64,58,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00041,1,0,2047,2048,0,2047,2048,0,2047,2048,0,511,1,40,15,3,3,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,35,1,61,32,35,59,8,29,39,41,32,0,32,60,21,54,15,59,50,44,55,47,58,14,22,9,51,29,2,41,45,64,19,12,36,0,56,34,37,8,9,29,29,27,21,10,28,45,52,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00042,1,2048,0,2047,2048,0,2047,2048,0,2047,0,511,2,40,15,3,3,25,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,44,18,46,11,42,26,36,13,37,0,0,7,43,43,5,50,49,57,39,13,51,60,0,58,14,54,38,52,39,54,8,60,40,18,50,38,0,24,24,3,0,11,30,34,58,53,58,20,27,18,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00043,1,2047,2048,0,2047,2048,0,2047,2048,0,0,511,0,40,15,3,3,25,25,0,11,10,11,13,5,7,7,8,8,10,2,1,0,14,59,6,7,31,17,25,25,51,33,31,58,10,19,6,32,9,49,6,15,2,50,19,48,37,20,31,21,37,16,62,50,24,8,14,31,42,0,18,31,47,7,54,41,57,28,24,6,3,14,12,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00044,1,2048,2048,2048,2048,2048,2048,2048,2048,2048,0,511,1,40,15,3,3,25,25,6,10,9,1,13,9,2,3,10,13,8,7,9,4,1,44,63,14,25,17,52,25,37,27,22,39,26,51,2,59,11,27,54,6,21,33,42,37,23,21,27,37,59,38,1,32,38,20,38,4,47,32,51,6,16,32,7,42,32,17,36,16,57,3,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00045,1,2048,2048,2048,2048,2048,2048,2048,2048,2048,0,511,2,40,15,3,3,25,25,13,14,7,6,1,3,9,6,0,10,5,8,13,3,11,42,40,62,1,58,18,57,26,54,36,44,55,49,32,22,55,55,27,60,41,41,30,23,55,63,50,49,3,57,44,52,8,54,57,16,8,51,55,22,47,50,58,45,58,58,26,23,2,17,54,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00046,1,0,2047,4095,0,2047,4095,0,2047,4095,0,511,0,40,15,3,3,25,25,10,0,15,7,0,13,3,6,14,1,13,9,6,3,9,1,63,55,49,26,11,61,32,28,44,16,60,0,22,37,33,47,64,56,17,47,58,0,18,50,58,12,44,35,17,54,58,25,43,53,46,18,50,2,56,63,8,46,16,10,22,21,55,44,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00047,1,4095,0,2047,4095,0,2047,4095,0,2047,0,511,1,40,15,3,3,25,25,9,10,10,6,11,5,13,11,13,5,2,14,15,1,3,13,8,58,61,1,2,12,17,25,5,9,16,61,20,10,46,11,48,0,43,53,21,8,42,39,57,52,19,12,32,46,58,12,29,47,61,26,25,53,50,54,5,60,38,6,0,17,4,21,19,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00048,1,2047,4095,0,2047,4095,0,2047,4095,0,0,511,2,40,15,3,3,25,25,0,2,5,2,6,5,13,11,7,0,7,13,7,3,8,53,55,22,53,49,41,64,22,58,14,7,58,28,19,0,4,0,55,23,9,56,45,57,2,16,41,4,13,42,31,40,43,48,38,63,24,11,53,10,46,26,18,48,33,17,48,3,2,40,44,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00049,1,0,2047,2048,0,2047,2048,0,2047,2048,511,0,0,40,15,3,3,25,25,6,12,2,13,0,7,8,2,6,5,4,8,10,2,6,19,57,57,33,46,60,7,4,8,14,4,17,54,6,40,5,54,62,39,51,64,7,49,63,0,43,7,9,40,28,50,25,12,53,29,7,18,64,20,35,19,34,10,23,40,41,42,37,8,13,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00050,1,2048,0,2047,2048,0,2047,2048,0,2047,511,0,1,40,15,3,3,25,25,12,14,7,12,4,13,8,3,8,14,12,6,4,14,6,63,46,9,23,2,54,42,15,19,24,55,54,4,37,5,44,23,15,19,22,43,0,15,47,13,22,30,44,33,28,28,9,13,57,37,37,35,36,8,49,9,26,14,7,52,9,17,38,4,50,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00051,1,2047,2048,0,2047,2048,0,2047,2048,0,511,0,2,40,15,3,3,25,25,10,14,11,1,4,3,1,9,11,9,5,7,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00052,1,2048,2048,2048,2048,2048,2048,2048,2048,2048,511,0,0,40,15,3,3,25,25,9,3,0,1,12,11,13,10,3,15,12,4,14,2,6,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00053,1,2048,2048,2048,2048,2048,2048,2048,2048,2048,511,0,1,40,15,3,3,25,25,9,10,1,9,13,13,6,11,7,12,1,9,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00054,1,0,2047,4095,0,2047,4095,0,2047,4095,511,0,2,40,15,3,3,25,25,11,3,5,2,8,9,6,8,4,1,15,10,7,10,15,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00055,1,4095,0,2047,4095,0,2047,4095,0,2047,511,0,0,40,15,3,3,25,25,1,4,10,5,8,6,2,0,11,9,3,0,12,12,9,59,0,8,39,43,57,60,22,33,18,47,29,32,8,50,29,42,41,59,38,12,56,64,0,15,53,1,59,46,15,10,3,31,43,36,60,38,34,61,40,36,59,20,55,9,17,9,33,10,56,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
